metric,n,mean,stdev,rho_1,pass_thr,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,rho_20,rho_21,rho_22,rho_23,rho_24,rho_25,rho_26,rho_27,rho_28,rho_29,rho_30,rho_31,rho_32,rho_33,rho_34,rho_35,rho_36,rho_37,rho_38,rho_39,rho_40,rho_41,rho_42,rho_43,rho_44,rho_45,rho_46,rho_47,rho_48,rho_49,rho_50
web_rt,811,3.2593983420722097,0.05187586906124256,0.9395385611966868,0,1.3176300697759136,1.424152643041716,0.8696025751012479,0.9392136105623333,1.2757781803992456,1.8028131756212789,2.368522288825292,2.5951462349194396,2.451078397358621,2.5857922150891377,1.319876701633997,1.1684649120929294,1.4839021218648127,1.4529520948291537,1.4445428256973747,1.4426480456664426,1.4407484868716267,1.438844131210774,1.4369349604912995,1.4350209564288665,1.4331021006447462,1.4311783746677977,1.429249759934469,1.4273162377841748,1.4253777894625987,1.4234343961197118,1.4214860388097725,1.419532698488027,1.4175743560146692,1.4156109921508806,1.4136425875575094,1.4116691227983718,1.409690578336291,1.407706934532437,1.4057181716476472,1.4037242698404462,1.4017252091677046,1.399720969580681,1.3977115309289796,1.3956968729565917,1.3936769753012355,1.3916518174950145,1.3896213789650802,1.387585639029009,1.3855445768967842,1.3834981716701347,1.3814464023405557,1.3793892477893084,1.3773266867880798
web_util,811,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
web_thr,811,6.740028429262042,0.11828408847378352,0.24749226819718878,0,-0.333375930285926,0.5035948354162347,0.9799863889988241,1.2866852885999567,1.3894413567551631,1.5629660104059477,1.4910810739115337,1.3103334137869982,1.5359032713008072,2.2127217953355744,3.4880042039827335,3.9989167992600514,3.4076662023521895,3.8944785634533496,4.642812164853421,4.636715527796413,4.630603514605659,4.6244760670381,4.6183331265566325,4.612174634326549,4.6060005312170675,4.599810757794724,4.593605254325404,4.587383960770792,4.581146816787354,4.574893761721762,4.568624734612934,4.56233967418644,4.556038518855014,4.549721206714998,4.5433876755453255,4.537037862804476,4.530671705628949,4.524289140832252,4.517890104900327,4.51147453399155,4.505042363934702,4.4985935302249045,4.492127968022603,4.485645612152556,4.4791463970992575,4.472630257006942,4.4660971256755175,4.459546936560573,4.452979622767782,4.446395117053927,4.439793351823339,4.433174259124853,4.426537770650792
spike0_rt,811,3.136179403984719,0.05017355378617037,0.08240332123148977,1,-0.07325660142503636,0.028572494339232632,0.8400890870990979,0.8754584592371668,1.733223697538731,1.9697924044728117,1.330439055598581,1.096145460808287,1.2646510536094355,1.1797303147306553,0.9250831589146594,1.523680534522472,1.7489032131831201,2.5319250581197723,2.743920956216484,3.599073095333824,3.5943313864527586,3.5895777035599674,3.584812001241449,3.58003423385387,3.575244355521743,3.570442320138131,3.565628081361122,3.5608015926131213,3.5559628070780285,3.5511116777019445,3.54624815719176,3.54137219800951,3.5364837523759025,3.5315827722667885,3.526669209410343,3.521743015286355,3.516804141126232,3.5118525379094683,3.506888156361529,3.501910946953852,3.496920859902433,3.491917845164301,3.486901852437517,3.48187283115835,3.4768307304998665,3.4717754993705214,3.46670708641345,3.4616254400015283,3.4565305082401974,3.4514222389611113,3.446300579722843,3.441165477809473,3.4360168802277684
spike0_util,811,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike0_thr,811,6.227054628336077,0.10392336560193476,0.5091294738048261,0,0.4847488639415253,-0.6151251618151452,-1.007089315580298,-2.0395058597915234,-2.289107801076872,-2.6357285973055773,-1.7142365335280279,-1.756668127987456,-1.5694577404697483,-1.5703289551899466,-1.6976972745648131,-2.6532468717853734,-3.1929547707186297,-4.206897614030678,-4.532482864210753,-5.2066000710385225,-5.1997574457724385,-5.19289754114935,-5.186020291635247,-5.179125631362561,-5.172213494130827,-5.165283813403385,-5.158336522306072,-5.151371553622615,-5.144388839796599,-5.137388312924896,-5.13036990475898,-5.123333546699655,-5.116279169797723,-5.109206704749375,-5.102116081896845,-5.0950072312211825,-5.087880082346188,-5.080734564531186,-5.073570606669703,-5.066388137288815,-5.059187084546509,-5.0519673762270845,-5.044728939741148,-5.037471702121012,-5.030195590020693,-5.022900529711962,-5.015586447081717,-5.008253267630008,-5.000900916467402,-4.993529318311698,-4.986138397487268,-4.978728077921108,-4.97129828313889
spike1_rt,811,3.1991355569777298,0.05347782816500908,-0.3436679017253301,1,0.7738185065796876,0.8648172710741715,1.4544300863713024,2.2369571668639376,2.2563699015206318,3.288852567002026,2.413316320859628,2.8509420116940114,3.108319877427535,2.1149120755677484,2.757135436885355,2.5452394458767555,2.8920713538284297,2.0359134801749423,2.4371157212023924,2.433917952987804,2.430712119784337,2.427498191042942,2.424276136059286,2.4210459239737543,2.4178075237720713,2.4145609042803295,2.4113060341668557,2.408042881941587,2.4047714159529683,2.4014916043873282,2.3982034152701233,2.3949068164615888,2.3916017756592245,2.3882882603928253,2.384966238027585,2.3816356757585098,2.3782965406135204,2.3749487994503475,2.371592418955292,2.368227365641978,2.3648536058519785,2.3614711057517064,2.3580798313317954,2.3546797484077207,2.351270822614208,2.347853019410203,2.344426304072661,2.340990641697788,2.337545997199178,2.3340923353065692,2.330629620564605,2.32715781733283,2.323676889781967
spike1_util,811,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike1_thr,811,6.141572004397782,0.10512190949147146,0.24274708878954224,0,-0.3952908071379214,-0.4970657998094449,-1.4556510504610416,-2.6957200018543093,-3.220079632337814,-3.5389116281776154,-3.2771367463419834,-3.7731217315025805,-3.7472637758381904,-3.1871186292898734,-3.345177888422397,-4.001178269395121,-3.600072303555324,-3.0676323437298034,-3.4989953216793834,-3.4944124008753543,-3.4898179216332994,-3.48521184017015,-3.4805941124842223,-3.4759646943481424,-3.47132354131142,-3.4666706086991605,-3.462005851606923,-3.4573292249045773,-3.45264068322923,-3.447940180988442,-3.443227672355725,-3.4385031112718294,-3.433766451440242,-3.429017646326544,-3.42425664915841,-3.41948341292368,-3.4146978903658582,-3.409900033987328,-3.405089796044207,-3.400267128545705,-3.39543198325284,-3.390584311676504,-3.3857240650768263,-3.380851194459953,-3.375965650577407,-3.3710673839248027,-3.3661563447379854,-3.361232482994963,-3.3562957484101164,-3.3513460904367736,-3.346383458262066,-3.341407800805639,-3.336419066719657
spike2_rt,811,3.107816929383002,0.054276889448288686,-1.263398162889378,1,-1.1575372626446196,-0.5895976041550481,0.14790660374037143,-0.977530719217017,-0.2623386373645887,-0.13556923630225795,0.32878303378916013,-0.15558616023357,-0.38115783109951246,-0.3570502690931969,-0.13692336376763092,-0.5439884399154932,-0.406201116008609,0.6883063195317384,-0.3079088694744641,-0.307505184474964,-0.3071004813552476,-0.30669475625747195,-0.30628800530630773,-0.30588022460532155,-0.30547141023999064,-0.30506155827529097,-0.30465066475509445,-0.3042387257039777,-0.30382573712661914,-0.303411695007196,-0.3029965953087813,-0.30258043397454987,-0.3021632069265723,-0.3017449100652121,-0.30132553927093453,-0.30090509040249774,-0.3004835592981586,-0.3000609417726581,-0.2996372336220446,-0.29921243061764474,-0.29878652851148985,-0.2983595230320951,-0.29793140988566563,-0.29750218475730233,-0.29707184330859,-0.2966403811794064,-0.29620779398551006,-0.29577407732155553,-0.29533922675747526,-0.2949032378408914,-0.2944661060965133,-0.294027827024931,-0.29358839610261567
spike2_util,811,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike2_thr,811,6.44535150241286,0.09259877943182163,0.7795543192287838,0,1.276630725917477,0.4859941253982264,0.47035722358359366,0.9432137295797502,0.582240298776398,0.19188891156936658,-0.21352754608334829,0.18356575961294136,0.5364651258015516,0.9522313719977838,0.2067980333642461,0.5982073417428624,0.10687556034317633,0.4007808678108742,0.9262025819922081,0.9249879202755829,0.9237701950997889,0.9225493948601831,0.921325507894116,0.9200985224809316,0.9188684268378235,0.9176352091248077,0.9163988574397499,0.9151593598216808,0.913916704247481,0.9126708786343669,0.9114218708357482,0.910169668642884,0.9089142597873696,0.9076556319336786,0.906393772687449,0.9051286695863683,0.9038603101068026,0.9025886816596533,0.9013137715903575,0.9000355671797161,0.8987540556430651,0.8974692241277904,0.8961810597166415,0.8948895494235889,0.8935946801963094,0.8922964389137009,0.8909948123867106,0.8896897873566775,0.8883813504969902,0.8870694884097717,0.8857541876275374,0.884435434612366,0.8831132157550705
spike3_rt,811,3.1280109457300247,0.07151972636824865,0.2184397908164637,0,-0.01740811539540763,0.3784160984309449,-0.2690052302861435,-0.26614534405665186,0.47672711399034806,0.006689975770827812,0.14712685973866468,0.2604900639395692,-0.6489830302269426,-1.524937417784072,-1.8936505132185542,-2.0790319791301872,-1.8979661037481164,-1.8630083480155613,-1.925009488581697,-1.9224880966416746,-1.9199603455796603,-1.917426211307341,-1.9148856696162448,-1.912338696173921,-1.9097852665253299,-1.9072253560907582,-1.9046589401658192,-1.9020859939204122,-1.8995064923980258,-1.896920410514351,-1.8943277230579736,-1.8917284046872505,-1.8891224299313505,-1.886509773188866,-1.8838904087267698,-1.8812643106804168,-1.8786314530504171,-1.8759918097050676,-1.8733453543768794,-1.8706920606629245,-1.868031902023447,-1.8653648517811685,-1.862690883120941,-1.8600099690873158,-1.857322082585238,-1.854627196379004,-1.8519252830901798,-1.8492163151972516,-1.8465002650352795,-1.8437771047945086,-1.8410468065189793,-1.8383093421061798,-1.8355646833060055
spike3_util,811,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike3_thr,811,6.361885801482448,0.10324318156876659,0.687026485211514,0,-0.20031559966526055,-0.7545837125144031,-0.4231781371749122,-0.4205315020021003,-0.7174703589204114,-0.511748806192753,-0.7257466149346028,-0.24477279994211987,0.6768889077741156,2.151772622821102,2.9904210419003667,3.002988021602357,2.825815905453428,2.914611106946025,2.749587144956049,2.7459792174091264,2.742362190422821,2.738736029530411,2.7351007000891894,2.731456167282468,2.7278023961162408,2.724139351419186,2.7204669978413305,2.7167852998520545,2.713094221740086,2.709393727613506,2.705683781393744,2.701964346820915,2.6982353874478187,2.6944968666399385,2.690748747576109,2.686990993245183,2.6832235664440316,2.6794464297808775,2.6756595456672945,2.6718628763242083,2.668056383774564,2.6642400298446587,2.66041377616414,2.6565775841626764,2.6527314150686214,2.6488752299096805,2.645008989508913,2.6411326544853964,2.637246185252896,2.6333495420171946,2.6294426847754306,2.6255255733154277,2.6215981672130297
mit_rt,811,0.002449893681613218,0.00021491204493200692,0.030756038321194563,1,0.00862981514292485,0.01683633646056024,0.06463348313956249,0.003900671874846484,0.07717029729694024,0.06945448576774543,0.01968204124624819,0.0607430663057081,0.063707573952876,0.018678895355237358,0.001776407350879339,0.04519966454480011,0.048676571477262454,0.03267862443125619,0.06899692826231246,0.053784213078900134,0.046865563163054604,0.00804329259688654,0.08929685335860468,0.09419663903055991,-0.005076386802676297,-0.00020290601642320932,0.004158028435190068,0.09598879324521147,0.032656958145618926,0.08997035279302489,0.1105882476303796,0.08046432940293861,0.004448524781962904,0.031001108415122818,0.11023254031513209,0.09634854973999557,0.20661507174350727,0.16650282562424185,0.1367509006046855,0.12843707007859306,0.2244338834715022,0.12540678785621848,0.13303755705130507,0.11269576485569911,0.24763063782771835,0.20164724805665055,0.24031184765995506,0.2513419281982937,0.22198261196930794,0.23075951578902684,0.28135895870198574,0.2661432957151755,0.22492450197212382
mit_util,811,0.30477437274434305,0.03681580255730509,0.01806335326208698,1,-0.031732303016318464,-0.03478426309838194,0.009194867503213525,-0.060330833994664386,0.046212099904288095,0.0057224160197928385,-0.0783232173844494,0.10098310430990297,0.019332194411291206,0.047631220189262496,0.015181846681059066,0.040862171765424476,-0.07954236016758633,-0.03345397641323421,-0.032637857314707135,-0.08562478967164326,-0.14128135150771307,-0.062507182583909,-0.06592440067160858,-0.09062569972883537,-0.0738418161876139,-0.05731605758825098,0.004990143655046258,0.028361079754236646,-0.03694606694133733,-0.009622226214811127,-0.0006482684991409493,-0.0308399210775484,0.029567093518459365,0.021822580037448344,0.07956738479755801,-0.0006579561604129742,0.06385825830806327,0.011373405757447977,0.029837538893932165,0.02465125685885261,0.021283245598165756,0.08496206543622586,0.040444339136607575,0.07770234273914532,0.03584121645476345,0.104743796321562,0.1013850433523786,0.09923966304049427,0.019565422030354596,-0.004204859022905986,0.05276898231661531,0.02294614760253469,0.018700733588979855
mit_thr,811,277.5675021009742,32.457219291739804,0.029511323203141874,1,-0.04803978605980709,-0.04878072976242504,-0.008693232369281533,-0.06142652681823112,0.041497383507201356,-0.003374866080199196,-0.08318316857060061,0.10303765349439832,-0.010633144197224085,0.030609265147569207,0.01479440429604234,0.03263795098092886,-0.11385476529569276,-0.030835892942089212,-0.05797393029551431,-0.07231942560573955,-0.1428735977677028,-0.07014746229118271,-0.07081821516277406,-0.10003349777030648,-0.0952102460071749,-0.0660243800440815,0.0114379502730397,0.0308399511617128,-0.0336876862816131,-0.018473743175357518,0.0028316381232814125,-0.05062622127642277,0.03307395435396456,0.03422614853709975,0.07610053012952028,0.02083371244586561,0.06807695293193601,0.0044772238607868305,0.03322515891343326,0.039907159028051004,-0.004381035952021735,0.06667000722757965,0.03559017402725079,0.07319012337211642,0.05470130204370005,0.11277497487791004,0.11144971659464095,0.08084135773602694,-0.0007960222384105757,-0.00242259995275637,0.051505834305065994,0.013610301684360332,0.01358863626664124
